start...
Epoch: 1 / 5000, Score: -1200,  block: 25,  Reward: -11.6 Cleared lines: 1
Epoch: 2 / 5000, Score: -1300,  block: 24,  Reward: -12.6 Cleared lines: 0
Epoch: 3 / 5000, Score: -1300,  block: 24,  Reward: -8.6 Cleared lines: 0
Epoch: 4 / 5000, Score: -1300,  block: 27,  Reward: -14.5 Cleared lines: 0
Epoch: 5 / 5000, Score: -1300,  block: 26,  Reward: -13.6 Cleared lines: 0
Epoch: 6 / 5000, Score: -1300,  block: 22,  Reward: -7.7 Cleared lines: 0
Epoch: 7 / 5000, Score: -1300,  block: 23,  Reward: -9.7 Cleared lines: 0
Epoch: 8 / 5000, Score: -1300,  block: 21,  Reward: -11.3 Cleared lines: 0
Epoch: 9 / 5000, Score: -1300,  block: 20,  Reward: -8.3 Cleared lines: 0
Epoch: 10 / 5000, Score: -1300,  block: 22,  Reward: -11.4 Cleared lines: 0
Epoch: 11 / 5000, Score: -1300,  block: 22,  Reward: -8.7 Cleared lines: 0
Epoch: 12 / 5000, Score: -1300,  block: 18,  Reward: -6.3 Cleared lines: 0
Epoch: 13 / 5000, Score: -1300,  block: 14,  Reward: -3.8 Cleared lines: 0
Epoch: 14 / 5000, Score: -1300,  block: 20,  Reward: -6.5 Cleared lines: 0
Epoch: 15 / 5000, Score: -1300,  block: 23,  Reward: -9.5 Cleared lines: 0
Epoch: 16 / 5000, Score: -1300,  block: 18,  Reward: -8.0 Cleared lines: 0
Epoch: 17 / 5000, Score: -1300,  block: 16,  Reward: -4.6 Cleared lines: 0
Epoch: 18 / 5000, Score: -1300,  block: 28,  Reward: -11.8 Cleared lines: 0
Epoch: 19 / 5000, Score: -1300,  block: 23,  Reward: -6.6 Cleared lines: 0
Epoch: 20 / 5000, Score: -1300,  block: 28,  Reward: -11.6 Cleared lines: 0
Epoch: 21 / 5000, Score: -1300,  block: 23,  Reward: -10.2 Cleared lines: 0
Epoch: 22 / 5000, Score: -1300,  block: 25,  Reward: -9.8 Cleared lines: 0
Epoch: 23 / 5000, Score: -1300,  block: 19,  Reward: -8.2 Cleared lines: 0
Epoch: 24 / 5000, Score: -1300,  block: 24,  Reward: -10.3 Cleared lines: 0
Epoch: 25 / 5000, Score: -1300,  block: 23,  Reward: -11.8 Cleared lines: 0
Epoch: 26 / 5000, Score: -1300,  block: 22,  Reward: -8.5 Cleared lines: 0
Epoch: 27 / 5000, Score: -1300,  block: 31,  Reward: -15.3 Cleared lines: 0
Epoch: 28 / 5000, Score: -1300,  block: 21,  Reward: -8.8 Cleared lines: 0
Epoch: 29 / 5000, Score: -1300,  block: 27,  Reward: -8.4 Cleared lines: 0
Epoch: 30 / 5000, Score: -1300,  block: 25,  Reward: -11.7 Cleared lines: 0
